epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,515.448,0.73687,0.66071,1.14989,0.95558,0.82763,0.89645,0.77007,0.86086,0.69783,1.04922,0.00999378,0.00333126,0.00999378,0.00333126,0.00999378,0.00333126,0.00999378,0.00333126
2,935.49,0.78345,0.68181,1.16407,0.94574,0.8308,0.90493,0.74833,0.90043,0.67657,1.07656,0.0195979,0.00653263,0.0195979,0.00653263,0.0195979,0.00653263,0.0195979,0.00653263
3,1320.77,0.87866,0.7753,1.21943,0.90862,0.80645,0.88216,0.67306,1.04626,0.79477,1.1937,0.028806,0.00960201,0.028806,0.00960201,0.028806,0.00960201,0.028806,0.00960201
4,1692.68,0.98191,0.89365,1.29144,0.90066,0.80577,0.88393,0.6552,1.08952,0.79352,1.23754,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2062.95,0.99754,0.91689,1.30516,0.89791,0.80657,0.88382,0.65639,1.08214,0.80143,1.23404,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2434.49,0.99586,0.90156,1.30272,0.91072,0.81666,0.89448,0.66438,1.08205,0.75937,1.2275,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2805.67,0.98952,0.89636,1.29832,0.91026,0.82528,0.90114,0.67474,1.05149,0.73335,1.20713,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3176.15,0.98151,0.87712,1.28871,0.90876,0.83515,0.90652,0.67848,1.04302,0.71663,1.20787,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3548.04,0.98089,0.86687,1.286,0.91426,0.84035,0.91475,0.68846,1.02426,0.6948,1.19452,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3919.92,0.9738,0.862,1.28025,0.91743,0.85325,0.92136,0.70023,0.99983,0.67428,1.16569,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4290.88,0.9663,0.85228,1.27431,0.92246,0.85988,0.9239,0.70584,0.98739,0.65388,1.1594,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4662.26,0.95408,0.82929,1.26484,0.91586,0.86719,0.93,0.71709,0.96666,0.63162,1.13891,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5031.92,0.94464,0.82135,1.2591,0.9285,0.87264,0.93632,0.72595,0.94724,0.6113,1.13133,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5402.64,0.94332,0.81321,1.25695,0.9307,0.87778,0.94054,0.73401,0.9313,0.59314,1.11736,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
